Port,Group1L,"","","","","",Group1R,"","","","","",Group2L,"","","","","",Group2R,"","","","","",Group3L,"","","","","",Group3R,"","","","","",Group4L,"","","","","",Group4R,"","","","","",Group5L,"","","","","",Group5R,"","","","","",Group6L,"","","","","",Group6R,"","","","","",Group7L,"","","","","",Group7R,"","","","","",Group8L,"","","","","",Group8R,"","","","","",Group9L,"","","","","",Group9R,"","","","","",Group10L,"","","","","",Group10R,"","","","","",Group11L,"","","","","",Group11R,"","","","","",Group12L,"","","","","",Group12R,"","","","","",Group13L,"","","","","",Group13R,"","","","","",Group14L,"","","","","",Group14R,"","","","","",Group15L,"","","","","",Group15R,"","","","","",Group16L,"","","","","",Group16R,"","","","","",Group17L,"","","","","",Group17R,"","","","","",Group18L,"","","","","",Group18R,"","","","","",Group19L,"","","","","",Group19R,"","","","","",Group20L,"","","","","",Group20R,"","","","","",Group21L,"","","","","",Group21R,"","","","","",Group22L,"","","","","",Group22R,"","","","","",Group23L,"","","","","",Group23R,"","","","","",Group24L,"","","","","",Group24R,"","","","",""
Value 71,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12,6,0,0,0,0,12
Value 72,7,16,0,10,0,12,7,16,0,10,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,16,0,10,0,12,7,16,0,10,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,1,0,10,0,12,7,1,0,10,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,0,0,0,0,12,7,0,0,0,0,12
Value 73,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12
Value 74,1,16,0,10,0,12,1,16,0,10,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,16,0,10,0,12,1,16,0,10,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,1,0,10,0,12,1,1,0,10,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12,1,0,0,0,0,12
Value 75,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12,2,0,0,0,0,12
Value 76,3,16,0,10,0,12,3,16,0,10,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,16,0,10,0,12,3,16,0,10,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,1,0,10,0,12,3,1,0,10,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12,3,0,0,0,0,12
Value 77,4,1,0,10,0,3,4,1,0,10,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3
Value 78,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,1,0,10,0,3,5,1,0,10,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3
Value 79,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,1,0,10,0,3,6,1,0,10,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3
Value 80,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,1,0,10,0,3,7,1,0,10,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3
Value 81,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,1,0,10,0,3,0,1,0,10,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3
Value 82,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54,1,0,0,0,0,54
Value 83,2,1,0,10,0,3,2,1,0,10,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3
Value 84,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,1,0,10,0,3,3,1,0,10,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3
Value 85,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,1,0,10,0,3,4,1,0,10,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3
Value 86,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,1,0,10,0,3,5,1,0,10,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,3
Value 87,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,1,0,10,0,3,6,1,0,10,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3
Value 88,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54,7,0,0,0,0,54
Value 89,0,1,0,10,0,3,0,1,0,10,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3
Value 90,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,1,0,10,0,3,1,1,0,10,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3
Value 91,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,1,0,10,0,3,2,1,0,10,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3
Value 92,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,1,0,10,0,3,3,1,0,10,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3
Value 93,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,1,0,10,0,3,4,1,0,10,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3
